STN,DATE,RH_0.1mm,EV24_0.1mm,RH_mm,EV24_mm
260,1980-07-27,0,27,0.0,2.7
260,1980-07-28,0,36,0.0,3.6
260,1980-07-29,0,40,0.0,4.0
260,1980-07-30,14,13,1.4,1.3
260,1980-07-31,0,36,0.0,3.6
260,1980-08-01,2,29,0.2,2.9
260,1980-08-02,0,39,0.0,3.9
260,1980-08-03,-1,32,0.0,3.2
260,1980-08-04,10,22,1.0,2.2
260,1980-08-05,13,26,1.3,2.6
260,1980-08-06,0,24,0.0,2.4
260,1980-08-07,-1,18,0.0,1.8
260,1980-08-08,2,24,0.2,2.4
260,1980-08-09,-1,22,0.0,2.2
260,1980-08-10,0,27,0.0,2.7
260,1980-08-11,56,20,5.6,2.0
260,1980-08-12,96,19,9.6,1.9
260,1980-08-13,1,20,0.1,2.0
260,1980-08-14,55,17,5.5,1.7
260,1980-08-15,127,33,12.7,3.3
260,1980-08-16,-1,15,0.0,1.5
260,1980-08-17,0,31,0.0,3.1
260,1980-08-18,-1,18,0.0,1.8
260,1980-08-19,-1,23,0.0,2.3
260,1980-08-20,-1,22,0.0,2.2
260,1980-08-21,35,28,3.5,2.8
260,1980-08-22,32,19,3.2,1.9
260,1980-08-23,16,15,1.6,1.5
260,1980-08-24,18,9,1.8,0.9
260,1980-08-25,0,29,0.0,2.9
260,1980-08-26,0,33,0.0,3.3
260,1980-08-27,0,30,0.0,3.0
260,1980-08-28,-1,9,0.0,0.9
260,1980-08-29,33,14,3.3,1.4
260,1980-08-30,119,14,11.9,1.4
260,1980-08-31,26,11,2.6,1.1
260,1980-09-01,0,29,0.0,2.9
260,1980-09-02,-1,29,0.0,2.9
260,1980-09-03,0,31,0.0,3.1
260,1980-09-04,-1,15,0.0,1.5
260,1980-09-05,41,13,4.1,1.3
260,1980-09-06,2,25,0.2,2.5
260,1980-09-07,-1,31,0.0,3.1
260,1980-09-08,20,25,2.0,2.5
260,1980-09-09,4,22,0.4,2.2
260,1980-09-10,27,4,2.7,0.4
260,1980-09-11,95,23,9.5,2.3
260,1980-09-12,13,13,1.3,1.3
260,1980-09-13,56,18,5.6,1.8
260,1980-09-14,107,9,10.7,0.9
260,1980-09-15,-1,13,0.0,1.3
260,1980-09-16,-1,19,0.0,1.9
260,1980-09-17,16,19,1.6,1.9
260,1980-09-18,0,23,0.0,2.3
260,1980-09-19,-1,15,0.0,1.5
260,1980-09-20,0,24,0.0,2.4
260,1980-09-21,0,12,0.0,1.2
260,1980-09-22,4,9,0.4,0.9
260,1980-09-23,1,17,0.1,1.7
260,1980-09-24,11,5,1.1,0.5
260,1980-09-25,1,12,0.1,1.2
260,1980-09-26,-1,20,0.0,2.0
260,1980-09-27,2,14,0.2,1.4
260,1980-09-28,0,17,0.0,1.7
260,1980-09-29,4,12,0.4,1.2
260,1980-09-30,4,17,0.4,1.7
260,1980-10-01,19,15,1.9,1.5
260,1980-10-02,0,11,0.0,1.1
260,1980-10-03,0,15,0.0,1.5
260,1980-10-04,6,8,0.6,0.8
260,1980-10-05,1,9,0.1,0.9
260,1980-10-06,74,5,7.4,0.5
260,1980-10-07,196,13,19.6,1.3
260,1980-10-08,54,10,5.4,1.0
260,1980-10-09,25,9,2.5,0.9
260,1980-10-10,-1,13,0.0,1.3
260,1980-10-11,-1,4,0.0,0.4
260,1980-10-12,0,15,0.0,1.5
260,1980-10-13,0,13,0.0,1.3
260,1980-10-14,0,9,0.0,0.9
260,1980-10-15,0,8,0.0,0.8
260,1980-10-16,19,6,1.9,0.6
260,1980-10-17,12,3,1.2,0.3
260,1980-10-18,27,8,2.7,0.8
260,1980-10-19,98,7,9.8,0.7
260,1980-10-20,2,7,0.2,0.7
260,1980-10-21,0,7,0.0,0.7
260,1980-10-22,8,5,0.8,0.5
260,1980-10-23,35,8,3.5,0.8
260,1980-10-24,22,9,2.2,0.9
260,1980-10-25,52,7,5.2,0.7
260,1980-10-26,26,6,2.6,0.6
260,1980-10-27,16,4,1.6,0.4
260,1980-10-28,108,6,10.8,0.6
260,1980-10-29,45,4,4.5,0.4
260,1980-10-30,4,9,0.4,0.9
260,1980-10-31,0,9,0.0,0.9
260,1980-11-01,0,8,0.0,0.8
260,1980-11-02,0,8,0.0,0.8
260,1980-11-03,0,6,0.0,0.6
260,1980-11-04,1,3,0.1,0.3
260,1980-11-05,0,6,0.0,0.6
260,1980-11-06,10,1,1.0,0.1
260,1980-11-07,88,3,8.8,0.3
260,1980-11-08,0,6,0.0,0.6
260,1980-11-09,-1,7,0.0,0.7
260,1980-11-10,-1,4,0.0,0.4
260,1980-11-11,72,2,7.2,0.2
260,1980-11-12,32,5,3.2,0.5
260,1980-11-13,12,3,1.2,0.3
260,1980-11-14,65,2,6.5,0.2
260,1980-11-15,155,1,15.5,0.1
260,1980-11-16,13,2,1.3,0.2
260,1980-11-17,21,3,2.1,0.3
260,1980-11-18,12,3,1.2,0.3
260,1980-11-19,36,2,3.6,0.2
260,1980-11-20,0,6,0.0,0.6
260,1980-11-21,0,3,0.0,0.3
260,1980-11-22,73,1,7.3,0.1
260,1980-11-23,2,1,0.2,0.1
260,1980-11-24,4,2,0.4,0.2
260,1980-11-25,2,3,0.2,0.3
260,1980-11-26,9,3,0.9,0.3
260,1980-11-27,53,1,5.3,0.1
260,1980-11-28,161,3,16.1,0.3
260,1980-11-29,6,3,0.6,0.3
260,1980-11-30,0,4,0.0,0.4
260,1980-12-01,0,4,0.0,0.4
260,1980-12-02,38,1,3.8,0.1
260,1980-12-03,6,4,0.6,0.4
260,1980-12-04,57,3,5.7,0.3
260,1980-12-05,91,0,9.1,0.0
260,1980-12-06,26,3,2.6,0.3
260,1980-12-07,57,3,5.7,0.3
260,1980-12-08,-1,3,0.0,0.3
260,1980-12-09,0,3,0.0,0.3
260,1980-12-10,-1,2,0.0,0.2
260,1980-12-11,33,0,3.3,0.0
260,1980-12-12,-1,1,0.0,0.1
260,1980-12-13,20,0,2.0,0.0
260,1980-12-14,36,1,3.6,0.1
260,1980-12-15,60,4,6.0,0.4
260,1980-12-16,26,4,2.6,0.4
260,1980-12-17,135,2,13.5,0.2
260,1980-12-18,90,2,9.0,0.2
260,1980-12-19,6,1,0.6,0.1
260,1980-12-20,75,1,7.5,0.1
260,1980-12-21,44,1,4.4,0.1
260,1980-12-22,3,1,0.3,0.1
260,1980-12-23,25,1,2.5,0.1
260,1980-12-24,-1,1,0.0,0.1
260,1980-12-25,23,3,2.3,0.3
260,1980-12-26,11,4,1.1,0.4
260,1980-12-27,12,4,1.2,0.4
260,1980-12-28,6,2,0.6,0.2
260,1980-12-29,1,0,0.1,0.0
260,1980-12-30,-1,1,0.0,0.1
260,1980-12-31,-1,1,0.0,0.1
260,1981-01-01,57,3,5.7,0.3
260,1981-01-02,201,0,20.1,0.0
260,1981-01-03,75,2,7.5,0.2
260,1981-01-04,37,3,3.7,0.3
260,1981-01-05,6,4,0.6,0.4
260,1981-01-06,49,3,4.9,0.3
260,1981-01-07,-1,4,0.0,0.4
260,1981-01-08,7,1,0.7,0.1
260,1981-01-09,110,1,11.0,0.1
260,1981-01-10,15,3,1.5,0.3
260,1981-01-11,0,5,0.0,0.5
260,1981-01-12,100,1,10.0,0.1
260,1981-01-13,13,4,1.3,0.4
260,1981-01-14,201,0,20.1,0.0
260,1981-01-15,78,3,7.8,0.3
260,1981-01-16,51,3,5.1,0.3
260,1981-01-17,11,3,1.1,0.3
260,1981-01-18,-1,4,0.0,0.4
260,1981-01-19,54,2,5.4,0.2
260,1981-01-20,12,3,1.2,0.3
260,1981-01-21,1,2,0.1,0.2
260,1981-01-22,8,1,0.8,0.1
260,1981-01-23,1,1,0.1,0.1
260,1981-01-24,18,1,1.8,0.1
260,1981-01-25,0,2,0.0,0.2
260,1981-01-26,25,6,2.5,0.6
260,1981-01-27,11,1,1.1,0.1
260,1981-01-28,-1,2,0.0,0.2
260,1981-01-29,-1,2,0.0,0.2
260,1981-01-30,-1,1,0.0,0.1
260,1981-01-31,1,5,0.1,0.5
260,1981-02-01,-1,2,0.0,0.2
260,1981-02-02,-1,7,0.0,0.7
260,1981-02-03,159,5,15.9,0.5
260,1981-02-04,17,3,1.7,0.3
260,1981-02-05,16,3,1.6,0.3
260,1981-02-06,16,2,1.6,0.2
260,1981-02-07,-1,3,0.0,0.3
260,1981-02-08,6,2,0.6,0.2
260,1981-02-09,-1,2,0.0,0.2
260,1981-02-10,56,3,5.6,0.3
260,1981-02-11,6,6,0.6,0.6
260,1981-02-12,1,5,0.1,0.5
260,1981-02-13,0,8,0.0,0.8
260,1981-02-14,0,7,0.0,0.7
260,1981-02-15,0,7,0.0,0.7
260,1981-02-16,0,6,0.0,0.6
260,1981-02-17,-1,3,0.0,0.3
260,1981-02-18,-1,2,0.0,0.2
260,1981-02-19,-1,2,0.0,0.2
260,1981-02-20,12,4,1.2,0.4
260,1981-02-21,0,8,0.0,0.8
260,1981-02-22,0,8,0.0,0.8
260,1981-02-23,0,7,0.0,0.7
260,1981-02-24,8,3,0.8,0.3
260,1981-02-25,3,8,0.3,0.8
260,1981-02-26,-1,6,0.0,0.6
260,1981-02-27,0,12,0.0,1.2
260,1981-02-28,86,4,8.6,0.4
260,1981-03-01,1,9,0.1,0.9
260,1981-03-02,5,4,0.5,0.4
260,1981-03-03,16,2,1.6,0.2
260,1981-03-04,-1,6,0.0,0.6
260,1981-03-05,9,5,0.9,0.5
260,1981-03-06,8,4,0.8,0.4
260,1981-03-07,49,2,4.9,0.2
260,1981-03-08,53,3,5.3,0.3
260,1981-03-09,261,2,26.1,0.2
260,1981-03-10,151,2,15.1,0.2
260,1981-03-11,263,2,26.3,0.2
260,1981-03-12,79,4,7.9,0.4
260,1981-03-13,89,7,8.9,0.7
260,1981-03-14,87,3,8.7,0.3
260,1981-03-15,33,3,3.3,0.3
260,1981-03-16,34,8,3.4,0.8
260,1981-03-17,3,11,0.3,1.1
260,1981-03-18,8,7,0.8,0.7
260,1981-03-19,-1,7,0.0,0.7
260,1981-03-20,0,16,0.0,1.6
260,1981-03-21,2,15,0.2,1.5
260,1981-03-22,19,5,1.9,0.5
260,1981-03-23,60,4,6.0,0.4
260,1981-03-24,25,9,2.5,0.9
260,1981-03-25,59,7,5.9,0.7
260,1981-03-26,15,9,1.5,0.9
260,1981-03-27,0,25,0.0,2.5
260,1981-03-28,0,14,0.0,1.4
260,1981-03-29,7,16,0.7,1.6
260,1981-03-30,7,9,0.7,0.9
260,1981-03-31,1,8,0.1,0.8
260,1981-04-01,-1,4,0.0,0.4
260,1981-04-02,1,4,0.1,0.4
260,1981-04-03,-1,5,0.0,0.5
260,1981-04-04,1,3,0.1,0.3
260,1981-04-05,-1,11,0.0,1.1
260,1981-04-06,0,15,0.0,1.5
260,1981-04-07,-1,15,0.0,1.5
260,1981-04-08,0,17,0.0,1.7
260,1981-04-09,0,24,0.0,2.4
260,1981-04-10,0,30,0.0,3.0
260,1981-04-11,0,26,0.0,2.6
260,1981-04-12,3,14,0.3,1.4
260,1981-04-13,0,20,0.0,2.0
260,1981-04-14,0,31,0.0,3.1
260,1981-04-15,0,32,0.0,3.2
260,1981-04-16,0,30,0.0,3.0
260,1981-04-17,0,26,0.0,2.6
260,1981-04-18,-1,18,0.0,1.8
260,1981-04-19,23,11,2.3,1.1
260,1981-04-20,-1,25,0.0,2.5
260,1981-04-21,-1,9,0.0,0.9
260,1981-04-22,3,18,0.3,1.8
260,1981-04-23,2,21,0.2,2.1
260,1981-04-24,0,25,0.0,2.5
260,1981-04-25,1,11,0.1,1.1
260,1981-04-26,3,11,0.3,1.1
260,1981-04-27,-1,23,0.0,2.3
260,1981-04-28,43,9,4.3,0.9
260,1981-04-29,6,12,0.6,1.2
260,1981-04-30,75,4,7.5,0.4
260,1981-05-01,1,24,0.1,2.4
260,1981-05-02,-1,23,0.0,2.3
260,1981-05-03,23,17,2.3,1.7
260,1981-05-04,85,10,8.5,1.0
260,1981-05-05,91,10,9.1,1.0
260,1981-05-06,7,10,0.7,1.0
260,1981-05-07,0,33,0.0,3.3
260,1981-05-08,54,13,5.4,1.3
260,1981-05-09,42,31,4.2,3.1
260,1981-05-10,0,42,0.0,4.2
260,1981-05-11,0,42,0.0,4.2
260,1981-05-12,19,38,1.9,3.8
260,1981-05-13,4,30,0.4,3.0
260,1981-05-14,6,13,0.6,1.3
260,1981-05-15,-1,33,0.0,3.3
260,1981-05-16,25,18,2.5,1.8
260,1981-05-17,51,27,5.1,2.7
260,1981-05-18,-1,35,0.0,3.5
260,1981-05-19,3,24,0.3,2.4
260,1981-05-20,0,41,0.0,4.1
260,1981-05-21,98,36,9.8,3.6
260,1981-05-22,177,23,17.7,2.3
260,1981-05-23,46,17,4.6,1.7
260,1981-05-24,77,23,7.7,2.3
260,1981-05-25,43,17,4.3,1.7
260,1981-05-26,4,25,0.4,2.5
260,1981-05-27,11,25,1.1,2.5
260,1981-05-28,25,21,2.5,2.1
260,1981-05-29,-1,32,0.0,3.2
260,1981-05-30,-1,33,0.0,3.3
260,1981-05-31,64,37,6.4,3.7
260,1981-06-01,1,41,0.1,4.1
260,1981-06-02,2,37,0.2,3.7
260,1981-06-03,4,33,0.4,3.3
260,1981-06-04,-1,40,0.0,4.0
260,1981-06-05,67,29,6.7,2.9
260,1981-06-06,3,32,0.3,3.2
260,1981-06-07,2,28,0.2,2.8
260,1981-06-08,32,18,3.2,1.8
260,1981-06-09,-1,23,0.0,2.3
260,1981-06-10,0,30,0.0,3.0
260,1981-06-11,66,11,6.6,1.1
260,1981-06-12,-1,23,0.0,2.3
260,1981-06-13,0,40,0.0,4.0
260,1981-06-14,-1,20,0.0,2.0
260,1981-06-15,1,22,0.1,2.2
260,1981-06-16,10,28,1.0,2.8
260,1981-06-17,48,19,4.8,1.9
260,1981-06-18,-1,14,0.0,1.4
260,1981-06-19,-1,30,0.0,3.0
260,1981-06-20,2,12,0.2,1.2
260,1981-06-21,1,19,0.1,1.9
260,1981-06-22,0,30,0.0,3.0
260,1981-06-23,0,32,0.0,3.2
260,1981-06-24,0,36,0.0,3.6
260,1981-06-25,-1,19,0.0,1.9
260,1981-06-26,101,3,10.1,0.3
260,1981-06-27,2,15,0.2,1.5
260,1981-06-28,171,4,17.1,0.4
260,1981-06-29,84,8,8.4,0.8
260,1981-06-30,13,10,1.3,1.0
260,1981-07-01,0,20,0.0,2.0
260,1981-07-02,168,13,16.8,1.3
260,1981-07-03,9,27,0.9,2.7
260,1981-07-04,8,26,0.8,2.6
260,1981-07-05,-1,32,0.0,3.2
260,1981-07-06,0,30,0.0,3.0
260,1981-07-07,0,36,0.0,3.6
260,1981-07-08,0,49,0.0,4.9
260,1981-07-09,45,38,4.5,3.8
260,1981-07-10,70,24,7.0,2.4
260,1981-07-11,-1,28,0.0,2.8
260,1981-07-12,0,22,0.0,2.2
260,1981-07-13,8,26,0.8,2.6
260,1981-07-14,-1,22,0.0,2.2
260,1981-07-15,-1,28,0.0,2.8
260,1981-07-16,187,12,18.7,1.2
260,1981-07-17,1,37,0.1,3.7
260,1981-07-18,2,28,0.2,2.8
260,1981-07-19,-1,35,0.0,3.5
260,1981-07-20,17,20,1.7,2.0
260,1981-07-21,29,14,2.9,1.4
260,1981-07-22,-1,22,0.0,2.2
260,1981-07-23,81,31,8.1,3.1
260,1981-07-24,164,10,16.4,1.0
260,1981-07-25,243,14,24.3,1.4
260,1981-07-26,1,18,0.1,1.8
260,1981-07-27,0,42,0.0,4.2
260,1981-07-28,0,36,0.0,3.6
260,1981-07-29,0,30,0.0,3.0
260,1981-07-30,0,31,0.0,3.1
260,1981-07-31,61,31,6.1,3.1
260,1981-08-01,20,11,2.0,1.1
260,1981-08-02,0,31,0.0,3.1
260,1981-08-03,-1,42,0.0,4.2
260,1981-08-04,1,44,0.1,4.4
260,1981-08-05,0,40,0.0,4.0
260,1981-08-06,0,38,0.0,3.8
260,1981-08-07,0,33,0.0,3.3
260,1981-08-08,-1,9,0.0,0.9
260,1981-08-09,-1,15,0.0,1.5
260,1981-08-10,14,7,1.4,0.7
260,1981-08-11,12,10,1.2,1.0
260,1981-08-12,0,36,0.0,3.6
260,1981-08-13,0,28,0.0,2.8
260,1981-08-14,0,36,0.0,3.6
260,1981-08-15,0,28,0.0,2.8
260,1981-08-16,0,30,0.0,3.0
260,1981-08-17,-1,30,0.0,3.0
260,1981-08-18,-1,29,0.0,2.9
260,1981-08-19,49,17,4.9,1.7
260,1981-08-20,99,20,9.9,2.0
260,1981-08-21,13,22,1.3,2.2
260,1981-08-22,27,18,2.7,1.8
260,1981-08-23,2,23,0.2,2.3
260,1981-08-24,-1,17,0.0,1.7
260,1981-08-25,0,27,0.0,2.7
260,1981-08-26,-1,26,0.0,2.6
260,1981-08-27,0,23,0.0,2.3
260,1981-08-28,0,19,0.0,1.9
260,1981-08-29,-1,16,0.0,1.6
260,1981-08-30,0,30,0.0,3.0
260,1981-08-31,-1,20,0.0,2.0
260,1981-09-01,-1,27,0.0,2.7
260,1981-09-02,0,30,0.0,3.0
260,1981-09-03,0,28,0.0,2.8
260,1981-09-04,0,31,0.0,3.1
260,1981-09-05,-1,31,0.0,3.1
260,1981-09-06,-1,29,0.0,2.9
260,1981-09-07,0,25,0.0,2.5
260,1981-09-08,33,20,3.3,2.0
260,1981-09-09,-1,8,0.0,0.8
260,1981-09-10,-1,27,0.0,2.7
260,1981-09-11,31,11,3.1,1.1
260,1981-09-12,49,21,4.9,2.1
260,1981-09-13,35,23,3.5,2.3
260,1981-09-14,14,20,1.4,2.0
260,1981-09-15,62,6,6.2,0.6
260,1981-09-16,75,16,7.5,1.6
260,1981-09-17,-1,11,0.0,1.1
260,1981-09-18,36,11,3.6,1.1
260,1981-09-19,49,16,4.9,1.6
260,1981-09-20,93,7,9.3,0.7
260,1981-09-21,11,16,1.1,1.6
260,1981-09-22,1,14,0.1,1.4
260,1981-09-23,19,18,1.9,1.8
260,1981-09-24,-1,23,0.0,2.3
260,1981-09-25,-1,6,0.0,0.6
260,1981-09-26,5,9,0.5,0.9
260,1981-09-27,8,17,0.8,1.7
260,1981-09-28,-1,17,0.0,1.7
260,1981-09-29,0,20,0.0,2.0
260,1981-09-30,0,15,0.0,1.5
260,1981-10-01,0,21,0.0,2.1
260,1981-10-02,56,9,5.6,0.9
260,1981-10-03,27,12,2.7,1.2
260,1981-10-04,184,3,18.4,0.3
260,1981-10-05,2,18,0.2,1.8
260,1981-10-06,213,4,21.3,0.4
260,1981-10-07,4,15,0.4,1.5
260,1981-10-08,8,7,0.8,0.7
260,1981-10-09,61,6,6.1,0.6
260,1981-10-10,61,10,6.1,1.0
260,1981-10-11,117,10,11.7,1.0
260,1981-10-12,189,5,18.9,0.5
260,1981-10-13,147,5,14.7,0.5
260,1981-10-14,2,9,0.2,0.9
260,1981-10-15,-1,4,0.0,0.4
260,1981-10-16,-1,5,0.0,0.5
260,1981-10-17,79,6,7.9,0.6
260,1981-10-18,13,1,1.3,0.1
