stof,subsector,emissieoorzaak,jaar,emissie_kg
N - Totaal,Uit- en afspoeling natuurgronden,Afspoeling nutriënten natuurgronden,2010,70377.4506143157
N - Totaal,Uit- en afspoeling natuurgronden,Afspoeling nutriënten natuurgronden,2015,65852.662884291
N - Totaal,Uit- en afspoeling natuurgronden,Afspoeling nutriënten natuurgronden,2019,61407.2317729702
N - Totaal,Uit- en afspoeling natuurgronden,Afspoeling nutriënten natuurgronden,2020,71558.7687358292
N - Totaal,Uit- en afspoeling natuurgronden,Afspoeling nutriënten natuurgronden,2021,76756.7698315844
N - Totaal,Uit- en afspoeling natuurgronden,Afspoeling nutriënten natuurgronden,2022,57409.2766867804
N - Totaal,Uit- en afspoeling natuurgronden,Afspoeling nutriënten natuurgronden,2023,92841.2070505729
P - Totaal,Uit- en afspoeling natuurgronden,Afspoeling nutriënten natuurgronden,1990,2106.09944147734
P - Totaal,Uit- en afspoeling natuurgronden,Afspoeling nutriënten natuurgronden,1995,4020.24547493232
P - Totaal,Uit- en afspoeling natuurgronden,Afspoeling nutriënten natuurgronden,2000,4508.99497985983
P - Totaal,Uit- en afspoeling natuurgronden,Afspoeling nutriënten natuurgronden,2005,4635.77436628782
P - Totaal,Uit- en afspoeling natuurgronden,Afspoeling nutriënten natuurgronden,2010,7160.03756680463
P - Totaal,Uit- en afspoeling natuurgronden,Afspoeling nutriënten natuurgronden,2015,7886.16953746511
P - Totaal,Uit- en afspoeling natuurgronden,Afspoeling nutriënten natuurgronden,2019,6583.1035114645
P - Totaal,Uit- en afspoeling natuurgronden,Afspoeling nutriënten natuurgronden,2020,9073.0907353689
P - Totaal,Uit- en afspoeling natuurgronden,Afspoeling nutriënten natuurgronden,2021,8520.54800216178
P - Totaal,Uit- en afspoeling natuurgronden,Afspoeling nutriënten natuurgronden,2022,7318.47875771871
P - Totaal,Uit- en afspoeling natuurgronden,Afspoeling nutriënten natuurgronden,2023,14726.8388491807
N - Totaal,Uit- en afspoeling natuurgronden,Uitspoeling nutriënten natuurgronden,1990,5578716.78629148
N - Totaal,Uit- en afspoeling natuurgronden,Uitspoeling nutriënten natuurgronden,1995,8396693.66033411
N - Totaal,Uit- en afspoeling natuurgronden,Uitspoeling nutriënten natuurgronden,2000,9379353.76364516
N - Totaal,Uit- en afspoeling natuurgronden,Uitspoeling nutriënten natuurgronden,2005,6618997.60879835
N - Totaal,Uit- en afspoeling natuurgronden,Uitspoeling nutriënten natuurgronden,2010,10758830.6768667
N - Totaal,Uit- en afspoeling natuurgronden,Uitspoeling nutriënten natuurgronden,2015,12276237.5030487
N - Totaal,Uit- en afspoeling natuurgronden,Uitspoeling nutriënten natuurgronden,2019,12005723.417903
N - Totaal,Uit- en afspoeling natuurgronden,Uitspoeling nutriënten natuurgronden,2020,13937127.018873
N - Totaal,Uit- en afspoeling natuurgronden,Uitspoeling nutriënten natuurgronden,2021,13924501.8194638
N - Totaal,Uit- en afspoeling natuurgronden,Uitspoeling nutriënten natuurgronden,2022,9342465.86607957
N - Totaal,Uit- en afspoeling natuurgronden,Uitspoeling nutriënten natuurgronden,2023,18124014.8288793
P - Totaal,Uit- en afspoeling natuurgronden,Uitspoeling nutriënten natuurgronden,1990,400511.376462621
P - Totaal,Uit- en afspoeling natuurgronden,Uitspoeling nutriënten natuurgronden,1995,538321.051693773
P - Totaal,Uit- en afspoeling natuurgronden,Uitspoeling nutriënten natuurgronden,2000,691355.754227104
P - Totaal,Uit- en afspoeling natuurgronden,Uitspoeling nutriënten natuurgronden,2005,508209.494157701
P - Totaal,Uit- en afspoeling natuurgronden,Uitspoeling nutriënten natuurgronden,2010,849095.721758282
P - Totaal,Uit- en afspoeling natuurgronden,Uitspoeling nutriënten natuurgronden,2015,985266.880760072
P - Totaal,Uit- en afspoeling natuurgronden,Uitspoeling nutriënten natuurgronden,2019,1106648.02820467
P - Totaal,Uit- en afspoeling natuurgronden,Uitspoeling nutriënten natuurgronden,2020,1208694.82703612
P - Totaal,Uit- en afspoeling natuurgronden,Uitspoeling nutriënten natuurgronden,2021,1270344.60254579
P - Totaal,Uit- en afspoeling natuurgronden,Uitspoeling nutriënten natuurgronden,2022,832087.809555133
P - Totaal,Uit- en afspoeling natuurgronden,Uitspoeling nutriënten natuurgronden,2023,1585089.77851664
